quarter,clinic_id,clinic_name,clinic_waiting_total,clinic_treated_total,clinic_treatment_ratio,clinic_treatment_pct,quarters_to_treat,months_to_treat,catchment,catchment_waiting_total,catchment_treated_total,mean_ratio,clinics_pct_of_catchment,catchment_pct_of_qld,clinic_pct_of_qld
2023-07-01,63,CUNNAMULLA DENTAL CLINIC,49,6,0.122,12.24,8,25,South West,798,288,0.265,0.061,0.0067,0.00040935672514619883
2023-10-01,63,CUNNAMULLA DENTAL CLINIC,57,18,0.316,31.58,3,9,South West,942,255,0.213,0.061,0.0075,0.00045576664747649204
2023-07-01,142,GCUH DENTAL CLINIC,58,16,0.276,27.59,4,11,Gold Coast,8685,1505,0.148,0.007,0.0726,0.00048454469507101086
2024-10-01,50,MONTO DENTAL CLINIC,60,10,0.167,16.67,6,18,Wide Bay,11732,773,0.062,0.005,0.0861,0.00044041222584338941
2024-07-01,50,MONTO DENTAL CLINIC,61,8,0.131,13.11,8,23,Wide Bay,10803,1769,0.141,0.006,0.0821,0.00046344131769282198
2025-01-01,50,MONTO DENTAL CLINIC,61,8,0.131,13.11,8,23,Wide Bay,11636,1093,0.086,0.005,0.0830,0.00043520136981414761
2024-10-01,160,ST GEORGE DENTAL CLINIC,61,14,0.230,22.95,4,13,South West,1118,302,0.213,0.055,0.0082,0.00044775242960744590
2024-01-01,50,MONTO DENTAL CLINIC,64,7,0.109,10.94,9,28,Wide Bay,11174,1270,0.102,0.006,0.0880,0.00050398859725798704
2025-04-01,50,MONTO DENTAL CLINIC,65,9,0.138,13.85,7,22,Wide Bay,11693,1082,0.085,0.006,0.0792,0.00044004549393414211
2023-10-01,142,GCUH DENTAL CLINIC,65,20,0.308,30.77,3,10,Gold Coast,8498,1003,0.106,0.008,0.0679,0.00051973389624512250
2024-07-01,160,ST GEORGE DENTAL CLINIC,66,19,0.288,28.79,3,10,South West,1096,352,0.243,0.060,0.0083,0.00050142831094633198
2024-04-01,50,MONTO DENTAL CLINIC,66,2,0.030,3.03,33,100,Wide Bay,11501,966,0.077,0.006,0.0878,0.00050404765541469375
2023-10-01,50,MONTO DENTAL CLINIC,66,5,0.076,7.58,13,39,Wide Bay,11135,889,0.074,0.006,0.0890,0.00052772980234120130
2023-07-01,50,MONTO DENTAL CLINIC,66,8,0.121,12.12,8,25,Wide Bay,10631,960,0.083,0.006,0.0888,0.00055137844611528822
2023-04-01,50,MONTO DENTAL CLINIC,68,8,0.118,11.76,8,25,Wide Bay,10529,726,0.065,0.006,0.0907,0.00058580289455547898
2025-01-01,160,ST GEORGE DENTAL CLINIC,68,11,0.162,16.18,6,19,South West,1230,410,0.250,0.055,0.0088,0.00048514251061249242
2025-01-01,125,MITCHELL DENTAL CLINIC,73,13,0.178,17.81,6,17,South West,1230,410,0.250,0.059,0.0088,0.00052081475403988157
2024-01-01,160,ST GEORGE DENTAL CLINIC,73,11,0.151,15.07,7,20,South West,1039,280,0.212,0.070,0.0082,0.00057486199374739147
2024-07-01,125,MITCHELL DENTAL CLINIC,73,14,0.192,19.18,5,16,South West,1096,352,0.243,0.067,0.0083,0.00055461010150124597
2023-04-01,125,MITCHELL DENTAL CLINIC,74,22,0.297,29.73,3,10,South West,859,356,0.293,0.086,0.0074,0.00063749138525155065
2023-10-01,15,MORNINGTON ISLAND DENTAL,74,6,0.081,8.11,12,37,North West,702,19,0.026,0.105,0.0056,0.00059169705110983177
2024-01-01,142,GCUH DENTAL CLINIC,75,20,0.267,26.67,4,11,Gold Coast,8924,978,0.099,0.008,0.0703,0.00059061163741170356
2024-10-01,125,MITCHELL DENTAL CLINIC,75,14,0.187,18.67,5,16,South West,1118,302,0.213,0.067,0.0082,0.00055051528230423677
2024-04-01,160,ST GEORGE DENTAL CLINIC,77,20,0.260,25.97,4,12,South West,1058,262,0.198,0.073,0.0081,0.00058805559798380938
2023-07-01,125,MITCHELL DENTAL CLINIC,81,22,0.272,27.16,4,11,South West,798,288,0.265,0.102,0.0067,0.00067669172932330827
2025-04-01,125,MITCHELL DENTAL CLINIC,81,0,0.000,0.00,NULL,NULL,South West,1275,257,0.168,0.064,0.0086,0.00054836438474870017
2025-04-01,160,ST GEORGE DENTAL CLINIC,81,12,0.148,14.81,7,20,South West,1275,257,0.168,0.064,0.0086,0.00054836438474870017
2023-10-01,160,ST GEORGE DENTAL CLINIC,82,3,0.037,3.66,27,81,South West,942,255,0.213,0.087,0.0075,0.00065566429987846223
2023-04-01,121,COLLINSVILLE DENTAL CLINI,85,7,0.082,8.24,12,37,Mackay,6612,1059,0.138,0.013,0.0570,0.00073225361819434873
2023-10-01,125,MITCHELL DENTAL CLINIC,87,0,0.000,0.00,NULL,NULL,South West,942,255,0.213,0.092,0.0075,0.00069564383035885627
2024-04-01,63,CUNNAMULLA DENTAL CLINIC,89,16,0.180,17.98,6,17,South West,1058,262,0.198,0.084,0.0081,0.00067970062624102642
2024-01-01,125,MITCHELL DENTAL CLINIC,89,0,0.000,0.00,NULL,NULL,South West,1039,280,0.212,0.086,0.0082,0.00070085914306188822
2024-04-01,142,GCUH DENTAL CLINIC,94,44,0.468,46.81,2,6,Gold Coast,9111,857,0.086,0.010,0.0696,0.00071788605468153353
2024-10-01,56,INGLEWOOD DENTAL CLINIC,95,26,0.274,27.37,4,11,Darling Downs,10084,757,0.070,0.009,0.0740,0.00069731935758536657
2024-04-01,125,MITCHELL DENTAL CLINIC,95,7,0.074,7.37,14,41,South West,1058,262,0.198,0.090,0.0081,0.00072552314036963495
2024-10-01,63,CUNNAMULLA DENTAL CLINIC,97,12,0.124,12.37,8,24,South West,1118,302,0.213,0.087,0.0082,0.00071199976511347955
2025-01-01,63,CUNNAMULLA DENTAL CLINIC,98,27,0.276,27.55,4,11,South West,1230,410,0.250,0.080,0.0088,0.00069917597117682731
2024-07-01,63,CUNNAMULLA DENTAL CLINIC,99,31,0.313,31.31,3,10,South West,1096,352,0.243,0.090,0.0083,0.00075214246641949796
2023-04-01,56,INGLEWOOD DENTAL CLINIC,105,76,0.724,72.38,1,4,Darling Downs,9114,1073,0.105,0.012,0.0785,0.00090454858718125431
2023-07-01,56,INGLEWOOD DENTAL CLINIC,106,45,0.425,42.45,2,7,Darling Downs,9194,1044,0.102,0.012,0.0768,0.00088554720133667502
2025-01-01,56,INGLEWOOD DENTAL CLINIC,107,28,0.262,26.17,4,11,Darling Downs,10346,597,0.055,0.010,0.0738,0.00076338600934612778
2024-07-01,56,INGLEWOOD DENTAL CLINIC,107,40,0.374,37.38,3,8,Darling Downs,10190,938,0.084,0.011,0.0774,0.00081292165562511396
2024-01-01,63,CUNNAMULLA DENTAL CLINIC,108,4,0.037,3.70,27,81,South West,1039,280,0.212,0.104,0.0082,0.00085048075787285313
2023-10-01,56,INGLEWOOD DENTAL CLINIC,109,32,0.294,29.36,3,10,Darling Downs,9685,881,0.083,0.011,0.0774,0.00087155376447259003
2023-04-01,120,CLERMONT DENTAL CLINIC,109,51,0.468,46.79,2,6,Mackay,6612,1059,0.138,0.016,0.0570,0.00093900758097863542
2023-07-01,18,CLONCURRY DENTAL,111,1,0.009,0.90,111,333,North West,687,35,0.048,0.162,0.0057,0.00092731829573934837
2023-07-01,48,MUNDUBBERA DENTAL CLINIC,111,22,0.198,19.82,5,15,Wide Bay,10631,960,0.083,0.010,0.0888,0.00092731829573934837
2024-01-01,56,INGLEWOOD DENTAL CLINIC,112,39,0.348,34.82,3,9,Darling Downs,9276,1096,0.106,0.012,0.0730,0.00088198004520147732
2025-04-01,63,CUNNAMULLA DENTAL CLINIC,116,6,0.052,5.17,19,58,South West,1275,257,0.168,0.091,0.0086,0.00078531195840554593
2024-10-01,15,MORNINGTON ISLAND DENTAL,118,4,0.034,3.39,29,88,North West,446,19,0.041,0.265,0.0033,0.00086614404415866584
2024-07-01,15,MORNINGTON ISLAND DENTAL,119,7,0.059,5.88,17,51,North West,388,187,0.325,0.307,0.0029,0.00090409043943353796
2025-04-01,56,INGLEWOOD DENTAL CLINIC,119,29,0.244,24.37,4,12,Darling Downs,10662,633,0.056,0.011,0.0722,0.00080562175043327556
2023-04-01,48,MUNDUBBERA DENTAL CLINIC,119,17,0.143,14.29,7,21,Wide Bay,10529,726,0.065,0.011,0.0907,0.00102515506547208822
2023-04-01,18,CLONCURRY DENTAL,121,2,0.017,1.65,59,176,North West,655,30,0.044,0.185,0.0056,0.00104238456237077877
2024-04-01,56,INGLEWOOD DENTAL CLINIC,124,24,0.194,19.35,5,15,Darling Downs,10106,717,0.066,0.012,0.0772,0.00094699862532457614
2024-07-01,142,GCUH DENTAL CLINIC,127,16,0.126,12.60,8,24,Gold Coast,9576,1038,0.098,0.013,0.0728,0.00096486962863915395
2024-07-01,118,MT MORGAN DENTAL CLINIC,127,47,0.370,37.01,3,8,Central Queensland,7970,1618,0.169,0.016,0.0606,0.00096486962863915395
2024-10-01,142,GCUH DENTAL CLINIC,127,12,0.094,9.45,11,32,Gold Coast,10069,993,0.090,0.013,0.0739,0.00093220587803517426
2025-01-01,15,MORNINGTON ISLAND DENTAL,129,1,0.008,0.78,125,375,North West,492,60,0.109,0.262,0.0035,0.00092034388042664003
2024-04-01,15,MORNINGTON ISLAND DENTAL,129,51,0.395,39.53,3,8,North West,554,70,0.112,0.233,0.0042,0.00098518405376508324
2025-01-01,55,GOONDIWINDI DENTAL CLINIC,132,71,0.538,53.79,2,6,Darling Downs,10346,597,0.055,0.013,0.0738,0.00094174722648307352
2024-10-01,48,MUNDUBBERA DENTAL CLINIC,133,17,0.128,12.78,8,23,Wide Bay,11732,773,0.062,0.011,0.0861,0.00097624710061951320
2023-07-01,15,MORNINGTON ISLAND DENTAL,133,0,0.000,0.00,NULL,NULL,North West,687,35,0.048,0.194,0.0057,0.00111111111111111111
2024-01-01,48,MUNDUBBERA DENTAL CLINIC,134,22,0.164,16.42,6,18,Wide Bay,11174,1270,0.102,0.012,0.0880,0.00105522612550891036
2025-01-01,48,MUNDUBBERA DENTAL CLINIC,134,9,0.067,6.72,15,45,Wide Bay,11636,1093,0.086,0.012,0.0830,0.00095601612385402918
2023-04-01,15,MORNINGTON ISLAND DENTAL,135,2,0.015,1.48,67,200,North West,655,30,0.044,0.206,0.0056,0.00116299104066161268
2025-01-01,118,MT MORGAN DENTAL CLINIC,137,44,0.321,32.12,3,9,Central Queensland,8636,1473,0.146,0.016,0.0616,0.00097741946991046267
2023-10-01,48,MUNDUBBERA DENTAL CLINIC,137,9,0.066,6.57,15,45,Wide Bay,11135,889,0.074,0.012,0.0890,0.00109543913516279665
2023-07-01,62,CHARLEVILLE DENTAL CLINIC,137,68,0.496,49.64,2,6,South West,798,288,0.265,0.172,0.0067,0.00114452798663324979
2024-10-01,118,MT MORGAN DENTAL CLINIC,138,17,0.123,12.32,8,24,Central Queensland,8593,1115,0.115,0.016,0.0631,0.00101294811943979565
2025-04-01,118,MT MORGAN DENTAL CLINIC,140,26,0.186,18.57,5,16,Central Queensland,8532,1173,0.121,0.016,0.0578,0.00094779029462738302
